PetId,Species,Breed,Premium,Deductible,Age,AmtClaimsYr1,AmtClaimsYr2,AvgClaimsYr1,AvgClaimsYr2,NumClaimsYr1,NumClaimsYr2,AmtClaimsTotal,AvgClaimsTotal,NumClaimsTotal,YrsWithClaims
19,Dog,Yorkshire Terrier,102.22,500,2,0,0,0,0,0,0,0,0,0,0
20,Cat,Maine Coon,58.43,700,10,0,0,0,0,0,0,0,0,0,0
21,Dog,Dachshund Standard Smooth Haired,43.89,1000,6,6217.37,514.95,777.17125,73.56428571,8,7,6732.32,850.7355357,15,2
22,Dog,Goldendoodle,77.83,600,0,293.58,5352.84,293.58,486.6218182,1,11,5646.42,780.2018182,12,2
23,Dog,Goldendoodle,59.4,500,0,0,0,0,0,0,0,0,0,0,0
24,Dog,Boston Terrier,40.83,1000,0,161.2,168.36,80.6,168.36,2,1,329.56,248.96,3,2
25,Cat,American Shorthair,27.88,250,0,0,0,0,0,0,0,0,0,0,0
26,Dog,Labrador Retriever,107.36,250,0,360.59,0,120.1966667,0,3,0,360.59,120.1966667,3,1
27,Dog,German Shepherd,38.82,1000,2,0,0,0,0,0,0,0,0,0,0
28,Dog,Labradoodle,55.34,500,0,1624.29,545.06,162.429,109.012,10,5,2169.35,271.441,15,2
29,Dog,Labradoodle,62.63,200,0,76.9,49.5,76.9,49.5,1,1,126.4,126.4,2,2
30,Dog,Miniature Goldendoodle,69.24,400,0,3067.65,242.65,235.9730769,242.65,13,1,3310.3,478.6230769,14,2
31,Dog,Pomsky,52.6,200,0,271,111,90.33333333,111,3,1,382,201.3333333,4,2
32,Dog,Pomeranian,72.58,200,0,427.42,0,213.71,0,2,0,427.42,213.71,2,1
33,Dog,Labrador Retriever,74.78,200,0,0,826.84,0,826.84,0,1,826.84,826.84,1,1
34,Cat,Domestic Shorthair,39.75,700,10,0,3037.67,0,607.534,0,5,3037.67,607.534,5,1
35,Dog,Labradoodle,48.9,200,0,9063.44,1850.3,1510.573333,231.2875,6,8,10913.74,1741.860833,14,2
36,Cat,Mixed Breed,46.55,500,9,0,0,0,0,0,0,0,0,0,0
37,Dog,French Bulldog,101.96,500,0,584.8,2314.67,584.8,462.934,1,5,2899.47,1047.734,6,2
38,Dog,Mixed Breed Medium,42.9,250,0,0,0,0,0,0,0,0,0,0,0
39,Dog,Jack Russell Terrier,52.89,200,0,0,0,0,0,0,0,0,0,0,0
40,Dog,Golden Retriever,91.66,700,2,412.28,0,206.14,0,2,0,412.28,206.14,2,1
41,Dog,Mixed Breed Medium,70.74,250,1,0,289.23,0,289.23,0,1,289.23,289.23,1,1
42,Dog,American Eskimo,31.36,1000,1,816.51,0,272.17,0,3,0,816.51,272.17,3,1
43,Dog,Golden Retriever,111.94,200,0,730.69,0,730.69,0,1,0,730.69,730.69,1,1
44,Dog,Havanese,38.29,1000,0,315.7,0,157.85,0,2,0,315.7,157.85,2,1
45,Dog,Chihuahua Short Coat ,78.8,200,8,150,1119.12,150,1119.12,1,1,1269.12,1269.12,2,2
46,Dog,Goldendoodle,33.49,500,0,0,0,0,0,0,0,0,0,0,0
47,Dog,Maltipoo,53.42,200,3,16456.9,0,4114.225,0,4,0,16456.9,4114.225,4,1
48,Dog,Boxer,147.71,250,5,761.19,627.82,761.19,627.82,1,1,1389.01,1389.01,2,2
49,Dog,Labrador Retriever,73.81,250,0,1509.4,290.05,503.1333333,145.025,3,2,1799.45,648.1583333,5,2
50,Dog,Labrador Retriever,71.02,250,0,3356.12,2399.63,479.4457143,342.8042857,7,7,5755.75,822.25,14,2
51,Cat,Mixed Breed,44.45,1000,5,0,0,0,0,0,0,0,0,0,0
52,Dog,Mixed Breed Medium,197.37,0,6,4826.8,705.09,1608.933333,117.515,3,6,5531.89,1726.448333,9,2
53,Dog,Vizsla,43.63,1000,0,708.27,222.96,177.0675,74.32,4,3,931.23,251.3875,7,2
54,Dog,Labrador Retriever,31.07,1000,0,385.77,0,192.885,0,2,0,385.77,192.885,2,1
55,Dog,Mixed Breed Medium,60.28,500,0,0,0,0,0,0,0,0,0,0,0
56,Cat,Domestic Shorthair,41.56,250,0,0,0,0,0,0,0,0,0,0,0
57,Dog,Goldendoodle,29.29,1000,0,1327.85,0,189.6928571,0,7,0,1327.85,189.6928571,7,1
58,Dog,Welsh Terrier,75.8,700,0,1710.04,2694,155.4581818,449,11,6,4404.04,604.4581818,17,2
59,Cat,Bengal,37.61,200,0,0,0,0,0,0,0,0,0,0,0
60,Dog,Miniature Schnauzer,44.22,1000,0,151.92,0,151.92,0,1,0,151.92,151.92,1,1
61,Cat,Abyssinian,30.16,1000,0,402.87,6944.82,201.435,315.6736364,2,22,7347.69,517.1086364,24,2
62,Dog,Boxer,100.28,700,0,0,4647.07,0,331.9335714,0,14,4647.07,331.9335714,14,1
63,Dog,Mixed Breed Small,65.03,250,0,0,0,0,0,0,0,0,0,0,0
64,Dog,Labrador Retriever,68.11,500,0,0,0,0,0,0,0,0,0,0,0
65,Dog,Mixed Breed Unknown,66.97,200,0,2732.8,337.17,910.9333333,84.2925,3,4,3069.97,995.2258333,7,2
66,Dog,Mixed Breed Medium,52.42,200,0,0,6545.31,0,1309.062,0,5,6545.31,1309.062,5,1
67,Dog,Bernedoodle,62.34,500,0,278.02,0,278.02,0,1,0,278.02,278.02,1,1
68,Dog,Portuguese Water Dog,37.99,750,0,0,0,0,0,0,0,0,0,0,0
69,Dog,Boston Terrier,81.82,200,0,0,0,0,0,0,0,0,0,0,0
70,Dog,Labrador Retriever,75.94,1000,7,0,4304.02,0,239.1122222,0,18,4304.02,239.1122222,18,1
71,Cat,Bengal,84.87,100,0,0,0,0,0,0,0,0,0,0,0
72,Dog,Mixed Breed Medium,40.64,500,0,0,0,0,0,0,0,0,0,0,0
73,Dog,Mixed Breed Small,34.51,1000,8,0,0,0,0,0,0,0,0,0,0
74,Dog,Mixed Breed Small,48.09,500,1,0,662.85,0,662.85,0,1,662.85,662.85,1,1
75,Dog,English Bulldog,139.9,200,3,0,2444.73,0,222.2481818,0,11,2444.73,222.2481818,11,1
76,Dog,Poodle Miniature,39.17,75,7,0,0,0,0,0,0,0,0,0,0
77,Dog,Golden Retriever,66.24,500,0,468,0,468,0,1,0,468,468,1,1
78,Dog,Mixed Breed Large,56.43,1000,0,0,0,0,0,0,0,0,0,0,0
79,Dog,Goldendoodle,65.58,200,0,1023.1,295.7,170.5166667,147.85,6,2,1318.8,318.3666667,8,2
80,Dog,Goldendoodle,38.37,700,3,0,0,0,0,0,0,0,0,0,0
81,Dog,Mixed Breed Medium,78.32,200,1,0,0,0,0,0,0,0,0,0,0
82,Cat,American Shorthair,32.71,75,6,163.5,0,163.5,0,1,0,163.5,163.5,1,1
83,Dog,Boston Terrier,130.74,200,0,2558.82,2269.06,232.62,252.1177778,11,9,4827.88,484.7377778,20,2
84,Dog,Mixed Breed Medium,111.11,250,0,191.41,0,191.41,0,1,0,191.41,191.41,1,1
85,Dog,Golden Retriever,103.58,250,0,0,0,0,0,0,0,0,0,0,0
86,Dog,Labrador Retriever,69.13,400,0,0,0,0,0,0,0,0,0,0,0
87,Cat,Domestic Shorthair,21.15,200,0,0,39.79,0,39.79,0,1,39.79,39.79,1,1
88,Dog,Bichon Frise,34.53,700,0,0,0,0,0,0,0,0,0,0,0
89,Dog,Shih Tzu,59.98,700,9,0,0,0,0,0,0,0,0,0,0
90,Dog,Italian Greyhound,38.44,1000,1,0,183.42,0,183.42,0,1,183.42,183.42,1,1
91,Dog,Labrador Retriever,109.34,400,0,0,0,0,0,0,0,0,0,0,0
92,Dog,Labrador Retriever,98.45,750,4,0,0,0,0,0,0,0,0,0,0
93,Cat,Bengal,34.72,250,0,0,0,0,0,0,0,0,0,0,0
94,Dog,Pyrenean Shepherd,46.78,1000,0,0,0,0,0,0,0,0,0,0,0
95,Dog,Belgian Malinois,56.09,750,0,515.78,0,515.78,0,1,0,515.78,515.78,1,1
96,Cat,Domestic Shorthair,24.69,200,0,3309.37,0,3309.37,0,1,0,3309.37,3309.37,1,1
97,Dog,Bernedoodle,39.94,1000,0,0,0,0,0,0,0,0,0,0,0
98,Dog,Labrador Retriever,68,700,0,0,557.45,0,278.725,0,2,557.45,278.725,2,1
99,Dog,Boxer,157.53,200,0,0,0,0,0,0,0,0,0,0,0
100,Dog,Mixed Breed Unknown,57.27,300,0,0,0,0,0,0,0,0,0,0,0
101,Dog,Doberman Pinscher,50.44,75,4,0,0,0,0,0,0,0,0,0,0
102,Dog,Cavalier King Charles Spaniel,54.62,250,0,1420.32,0,355.08,0,4,0,1420.32,355.08,4,1
103,Dog,Bernese Mountain Dog,118.54,1000,0,0,0,0,0,0,0,0,0,0,0
104,Dog,Chihuahua,56.8,1000,9,0,0,0,0,0,0,0,0,0,0
105,Dog,Golden Retriever,79.51,350,0,1246.09,0,623.045,0,2,0,1246.09,623.045,2,1
106,Dog,Goldendoodle,53.61,200,0,0,331.82,0,331.82,0,1,331.82,331.82,1,1
107,Dog,Cavalier King Charles Spaniel,59.93,200,0,1406.42,1120.71,127.8563636,124.5233333,11,9,2527.13,252.379697,20,2
108,Dog,Collie Smooth,81.27,1000,9,0,0,0,0,0,0,0,0,0,0
109,Dog,Australian Labradoodle,47.47,750,0,599.28,137.46,149.82,137.46,4,1,736.74,287.28,5,2
110,Dog,Australian Shepherd,61.02,200,0,0,0,0,0,0,0,0,0,0,0
111,Dog,Mixed Breed Small,88.58,0,0,642.71,0,107.1183333,0,6,0,642.71,107.1183333,6,1
112,Dog,Shih Tzu,35.5,200,0,1033.59,0,344.53,0,3,0,1033.59,344.53,3,1
113,Cat,Domestic Shorthair,67.78,500,0,0,0,0,0,0,0,0,0,0,0
114,Dog,Terrier,51.67,700,3,0,474.34,0,474.34,0,1,474.34,474.34,1,1
115,Dog,Mixed Breed Small,45.02,500,0,0,353.4,0,176.7,0,2,353.4,176.7,2,1
116,Cat,Domestic Mediumhair,38.67,200,0,188.28,214.7,188.28,107.35,1,2,402.98,295.63,3,2
117,Dog,Goldendoodle,27.52,750,0,284.43,895.53,142.215,179.106,2,5,1179.96,321.321,7,2
118,Dog,Poodle Toy,84.49,300,0,805.88,0,402.94,0,2,0,805.88,402.94,2,1
119,Cat,Mixed Breed,46.91,200,0,416.47,14845.56,208.235,2474.26,2,6,15262.03,2682.495,8,2
120,Dog,French Bulldog,54.84,1000,0,6317.69,2042.43,701.9655556,340.405,9,6,8360.12,1042.370556,15,2
121,Dog,Golden Retriever,48.05,875,0,1062.86,0,531.43,0,2,0,1062.86,531.43,2,1
122,Dog,Labrador Retriever,56.05,1000,0,307,0,307,0,1,0,307,307,1,1
123,Dog,Mixed Breed Large,66.5,250,0,0,0,0,0,0,0,0,0,0,0
124,Dog,Mixed Breed Medium,34.54,700,1,0,0,0,0,0,0,0,0,0,0
125,Cat,Domestic Shorthair,33.97,300,0,0,0,0,0,0,0,0,0,0,0
126,Dog,Beagle,65.27,250,0,0,0,0,0,0,0,0,0,0,0
127,Dog,Labrador Retriever,61.72,500,0,0,0,0,0,0,0,0,0,0,0
128,Cat,Mixed Breed,129.29,800,11,4547.43,149.58,324.8164286,74.79,14,2,4697.01,399.6064286,16,2
129,Dog,Mixed Breed Small,33.81,700,0,0,0,0,0,0,0,0,0,0,0
130,Dog,Goldendoodle,30.12,1000,0,0,389,0,129.6666667,0,3,389,129.6666667,3,1
131,Dog,Silky Terrier,65.34,700,6,2266.71,3080.5,188.8925,280.0454545,12,11,5347.21,468.9379545,23,2
132,Dog,Maltipoo,47.42,500,0,0,1579,0,143.5454545,0,11,1579,143.5454545,11,1
133,Dog,German Shepherd,84.49,200,0,1438.04,0,359.51,0,4,0,1438.04,359.51,4,1
134,Dog,Labradoodle,35.35,375,0,509.24,2475.05,101.848,247.505,5,10,2984.29,349.353,15,2
135,Dog,Chihuahua,87.83,200,10,1105.62,2653.18,552.81,2653.18,2,1,3758.8,3205.99,3,2
136,Dog,Poodle Toy,44.68,200,0,201.42,0,201.42,0,1,0,201.42,201.42,1,1
137,Dog,Basset Hound,37.35,1000,2,799.9,0,399.95,0,2,0,799.9,399.95,2,1
138,Dog,Mixed Breed Small,36.97,250,0,0,0,0,0,0,0,0,0,0,0
139,Dog,Mixed Breed Large,56.4,500,0,2029.56,0,507.39,0,4,0,2029.56,507.39,4,1
140,Cat,Domestic Shorthair,38.84,500,0,0,0,0,0,0,0,0,0,0,0
141,Dog,Mixed Breed Large,56.41,700,1,241.43,0,241.43,0,1,0,241.43,241.43,1,1
142,Dog,Mixed Breed Small,109.6,500,10,5742.51,11871.17,574.251,1483.89625,10,8,17613.68,2058.14725,18,2
143,Dog,Mixed Breed Small,81.22,200,1,0,845.43,0,422.715,0,2,845.43,422.715,2,1
144,Dog,Labrador Retriever,44.26,500,0,0,715.36,0,715.36,0,1,715.36,715.36,1,1
145,Dog,Australian Labradoodle,64.71,250,0,472.52,0,472.52,0,1,0,472.52,472.52,1,1
146,Dog,Maltese,69.82,250,0,994.25,191.58,994.25,191.58,1,1,1185.83,1185.83,2,2
147,Dog,German Shepherd,50.31,1000,5,0,0,0,0,0,0,0,0,0,0
148,Dog,Chihuahua,59.56,500,6,0,0,0,0,0,0,0,0,0,0
149,Cat,Bengal,54.02,200,0,226.82,666.03,226.82,666.03,1,1,892.85,892.85,2,2
150,Dog,Mixed Breed Medium,52.08,700,9,0,0,0,0,0,0,0,0,0,0
151,Dog,Cockapoo,32.7,750,0,238.76,13754.65,238.76,1964.95,1,7,13993.41,2203.71,8,2
152,Dog,Labradoodle,35.35,200,0,0,1204.39,0,301.0975,0,4,1204.39,301.0975,4,1
153,Dog,Lhasa Apso,47.73,700,0,155.89,0,155.89,0,1,0,155.89,155.89,1,1
154,Dog,Bernedoodle,85.46,700,0,0,0,0,0,0,0,0,0,0,0
155,Cat,Domestic Mediumhair,65.73,500,8,0,0,0,0,0,0,0,0,0,0
156,Dog,Australian Cattle Dog,44.5,1000,3,0,174,0,174,0,1,174,174,1,1
157,Dog,Soft Coated Wheaten Terrier,43.65,500,0,3101.02,2982.63,238.54,119.3052,13,25,6083.65,357.8452,38,2
158,Cat,Siamese,34.2,700,8,0,0,0,0,0,0,0,0,0,0
159,Dog,Mixed Breed Small,45.35,400,0,0,0,0,0,0,0,0,0,0,0
160,Dog,Mixed Breed Small,78.75,250,0,0,0,0,0,0,0,0,0,0,0
161,Cat,Sphynx,25.15,200,0,0,0,0,0,0,0,0,0,0,0
162,Dog,German Shepherd,140.19,200,0,7250.55,175.6,557.7346154,175.6,13,1,7426.15,733.3346154,14,2
163,Dog,Mixed Breed Medium,55.34,200,0,1683.83,0,561.2766667,0,3,0,1683.83,561.2766667,3,1
164,Dog,Golden Retriever,130.04,300,1,761.34,0,380.67,0,2,0,761.34,380.67,2,1
165,Dog,Mixed Breed Large,52.05,200,0,525.25,0,262.625,0,2,0,525.25,262.625,2,1
166,Dog,Australian Labradoodle,43.9,200,0,0,0,0,0,0,0,0,0,0,0
167,Dog,Mixed Breed Medium,69.61,700,8,0,0,0,0,0,0,0,0,0,0
168,Dog,Poodle Standard,139.72,250,0,321.46,0,107.1533333,0,3,0,321.46,107.1533333,3,1
169,Dog,Yorkshire Terrier,40.02,250,0,154.66,0,154.66,0,1,0,154.66,154.66,1,1
170,Dog,Mixed Breed Large,82,500,2,0,7755.08,0,2585.026667,0,3,7755.08,2585.026667,3,1
171,Dog,Mixed Breed Small,46.63,250,0,0,0,0,0,0,0,0,0,0,0
172,Dog,Goldendoodle,48.17,200,0,0,0,0,0,0,0,0,0,0,0
173,Dog,Mixed Breed Small,98.99,400,9,0,0,0,0,0,0,0,0,0,0
174,Dog,Mixed Breed Unknown,160.62,700,9,0,0,0,0,0,0,0,0,0,0
175,Dog,Miniature Smooth Haired Dachshund,124.96,350,7,0,0,0,0,0,0,0,0,0,0
176,Dog,Labrador Retriever,34.21,1000,0,0,0,0,0,0,0,0,0,0,0
177,Cat,Mixed Breed,81.44,150,1,0,0,0,0,0,0,0,0,0,0
178,Dog,Shih Tzu,47.04,700,1,0,0,0,0,0,0,0,0,0,0
179,Dog,Mixed Breed Large,41.58,1000,1,0,0,0,0,0,0,0,0,0,0
180,Cat,Domestic Shorthair,24.66,250,0,0,0,0,0,0,0,0,0,0,0
181,Dog,French Bulldog,50.9,700,0,645.77,0,645.77,0,1,0,645.77,645.77,1,1
182,Cat,Mixed Breed,31.61,150,0,0,0,0,0,0,0,0,0,0,0
183,Dog,Maltese,180.29,400,10,3654.04,9346.31,214.9435294,406.3613043,17,23,13000.35,621.3048338,40,2
184,Cat,Domestic Shorthair,34.27,1000,2,0,0,0,0,0,0,0,0,0,0
185,Dog,Australian Shepherd,81.46,700,2,2490.73,0,622.6825,0,4,0,2490.73,622.6825,4,1
186,Dog,Chihuahua Short Coat ,121.91,0,0,860.08,0,430.04,0,2,0,860.08,430.04,2,1
187,Dog,Mixed Breed Small,46.26,300,0,0,0,0,0,0,0,0,0,0,0
188,Dog,Havanese,46.7,500,0,0,0,0,0,0,0,0,0,0,0
189,Dog,Labrador Retriever,123.82,375,2,52.5,0,52.5,0,1,0,52.5,52.5,1,1
190,Cat,Mixed Breed,26.99,500,1,109,200.12,109,200.12,1,1,309.12,309.12,2,2
191,Dog,Rhodesian Ridgeback,30.97,1000,0,2803.45,0,2803.45,0,1,0,2803.45,2803.45,1,1
192,Dog,German Shepherd,65.64,1000,3,1708.06,0,427.015,0,4,0,1708.06,427.015,4,1
193,Cat,Donskoy,18.3,800,0,0,0,0,0,0,0,0,0,0,0
194,Dog,Mixed Breed Small,23.4,700,0,1115.46,0,557.73,0,2,0,1115.46,557.73,2,1
195,Dog,Shih Tzu,120.02,200,6,569.08,457.39,189.6933333,228.695,3,2,1026.47,418.3883333,5,2
196,Dog,Mixed Breed Medium,82.68,1000,9,0,0,0,0,0,0,0,0,0,0
197,Dog,Labrador Retriever,88.56,500,1,0,353.63,0,353.63,0,1,353.63,353.63,1,1
198,Dog,Havanese,46.98,700,0,197.1,0,98.55,0,2,0,197.1,98.55,2,1
199,Dog,Mixed Breed Medium,24.78,750,2,922.68,0,461.34,0,2,0,922.68,461.34,2,1
200,Dog,Schnauzer Standard,100.52,500,9,886.45,5194.08,886.45,371.0057143,1,14,6080.53,1257.455714,15,2
201,Dog,Pembroke Welsh Corgi,35.94,700,0,0,0,0,0,0,0,0,0,0,0
202,Dog,Mixed Breed Large,33.25,700,0,0,0,0,0,0,0,0,0,0,0
203,Cat,Domestic Shorthair,44.11,500,0,1266.87,0,253.374,0,5,0,1266.87,253.374,5,1
204,Dog,Cockapoo,66.01,500,9,395,717.96,197.5,143.592,2,5,1112.96,341.092,7,2
205,Dog,Mixed Breed Small,34.29,250,2,3139,2625,1569.5,2625,2,1,5764,4194.5,3,2
206,Dog,Mixed Breed Large,35.48,1000,2,0,1883.84,0,627.9466667,0,3,1883.84,627.9466667,3,1
207,Dog,Mixed Breed Large,58.97,1000,0,2502.5,49.5,208.5416667,49.5,12,1,2552,258.0416667,13,2
208,Dog,Mixed Breed Medium,47.06,700,1,0,0,0,0,0,0,0,0,0,0
209,Cat,Mixed Breed,33.4,200,0,0,0,0,0,0,0,0,0,0,0
210,Cat,Domestic Mediumhair,50.68,700,3,244.3,2068.56,244.3,2068.56,1,1,2312.86,2312.86,2,2
211,Dog,Lagotto Romagnolo,137.95,500,0,5475.18,1086.12,304.1766667,181.02,18,6,6561.3,485.1966667,24,2
212,Dog,Mixed Breed Medium,139.74,200,2,451.39,0,451.39,0,1,0,451.39,451.39,1,1
213,Cat,Domestic Shorthair,34.65,500,1,0,0,0,0,0,0,0,0,0,0
214,Dog,French Bulldog,155.16,200,0,4207.15,7319.41,467.4611111,430.5535294,9,17,11526.56,898.0146405,26,2
215,Dog,Miniature Goldendoodle,47.89,700,0,0,0,0,0,0,0,0,0,0,0
216,Dog,English Bulldog,106.09,250,0,2888.62,861.58,222.2015385,143.5966667,13,6,3750.2,365.7982051,19,2
217,Dog,Labrador Retriever,125.84,200,2,662.9,1437.32,331.45,239.5533333,2,6,2100.22,571.0033333,8,2
218,Dog,Mixed Breed Medium,51.11,350,0,0,0,0,0,0,0,0,0,0,0
219,Dog,Mixed Breed Medium,37.32,500,0,0,0,0,0,0,0,0,0,0,0
220,Dog,Goldendoodle,38.46,200,0,0,466.1,0,466.1,0,1,466.1,466.1,1,1
221,Dog,Goldendoodle,37.4,250,0,0,1066.71,0,133.33875,0,8,1066.71,133.33875,8,1
222,Dog,Golden Retriever,92.02,250,2,1762.54,3871.93,195.8377778,483.99125,9,8,5634.47,679.8290278,17,2
223,Dog,Pug,48.48,750,3,0,0,0,0,0,0,0,0,0,0
224,Dog,French Bulldog,409.78,250,0,0,0,0,0,0,0,0,0,0,0
225,Dog,Mixed Breed Small,107.33,700,8,372.37,1834.6,186.185,366.92,2,5,2206.97,553.105,7,2
226,Dog,Boston Terrier,58.85,250,0,0,0,0,0,0,0,0,0,0,0
227,Dog,Shih Tzu,47.31,500,2,0,0,0,0,0,0,0,0,0,0
228,Cat,Domestic Shorthair,46.15,500,8,0,0,0,0,0,0,0,0,0,0
229,Cat,Domestic Shorthair,36.26,250,0,1594.17,0,398.5425,0,4,0,1594.17,398.5425,4,1
230,Dog,Goldendoodle,47.94,250,0,0,0,0,0,0,0,0,0,0,0
231,Dog,Golden Retriever,169.34,100,1,1709.71,1467.89,170.971,163.0988889,10,9,3177.6,334.0698889,19,2
232,Dog,Mixed Breed Unknown,60.88,500,4,0,0,0,0,0,0,0,0,0,0
233,Dog,Boston Terrier,40.9,500,0,0,0,0,0,0,0,0,0,0,0
234,Dog,Australian Labradoodle,26.77,700,0,0,3431.49,0,1143.83,0,3,3431.49,1143.83,3,1
235,Dog,Mixed Breed Small,31.79,500,0,5024.45,91.23,1004.89,91.23,5,1,5115.68,1096.12,6,2
236,Dog,Australian Labradoodle,107.06,200,0,0,0,0,0,0,0,0,0,0,0
237,Dog,Labradoodle,27.17,1000,0,0,0,0,0,0,0,0,0,0,0
238,Dog,Mixed Breed Medium,72.74,200,2,8963.27,0,2240.8175,0,4,0,8963.27,2240.8175,4,1
239,Dog,Cavalier King Charles Spaniel,46.94,200,0,1146.66,824.33,1146.66,824.33,1,1,1970.99,1970.99,2,2
240,Dog,Shih Tzu,29.66,500,1,582.9,787.86,582.9,787.86,1,1,1370.76,1370.76,2,2
241,Dog,Mixed Breed Medium,40.2,1000,0,241.66,186.59,241.66,186.59,1,1,428.25,428.25,2,2
242,Dog,Mixed Breed Large,97,200,0,1010.2,0,1010.2,0,1,0,1010.2,1010.2,1,1
243,Dog,Chesapeake Bay Retriever,105.72,1000,0,0,0,0,0,0,0,0,0,0,0
244,Cat,Mixed Breed,36.5,200,0,0,0,0,0,0,0,0,0,0,0
245,Cat,Bengal,33.26,100,0,0,459.44,0,459.44,0,1,459.44,459.44,1,1
246,Dog,English Springer Spaniel,84.05,200,0,370.85,0,370.85,0,1,0,370.85,370.85,1,1
247,Dog,Mixed Breed Medium,98.52,700,8,5983.36,0,854.7657143,0,7,0,5983.36,854.7657143,7,1
248,Dog,Cavalier King Charles Spaniel,85.45,250,0,831,714.5,277,357.25,3,2,1545.5,634.25,5,2
249,Dog,Mixed Breed Small,41.39,500,0,607.4,192,607.4,192,1,1,799.4,799.4,2,2
250,Cat,Mixed Breed,36.98,250,0,0,0,0,0,0,0,0,0,0,0
251,Dog,Soft Coated Wheaten Terrier,65.74,200,0,988.63,0,988.63,0,1,0,988.63,988.63,1,1
252,Dog,Doberman Pinscher,73.73,1000,0,1573.35,0,224.7642857,0,7,0,1573.35,224.7642857,7,1
253,Dog,Mixed Breed Small,189.43,50,10,1956.74,690.37,652.2466667,345.185,3,2,2647.11,997.4316667,5,2
254,Dog,Maltese,44.79,200,0,628.91,0,314.455,0,2,0,628.91,314.455,2,1
255,Dog,Mixed Breed Large,104,500,2,438.24,0,438.24,0,1,0,438.24,438.24,1,1
256,Cat,American Shorthair,45.06,200,0,0,0,0,0,0,0,0,0,0,0
257,Dog,Golden Retriever,70.92,650,0,365.56,0,182.78,0,2,0,365.56,182.78,2,1
258,Dog,Goldendoodle,87.19,600,4,0,0,0,0,0,0,0,0,0,0
259,Dog,Rat Terrier,26.98,1000,3,0,0,0,0,0,0,0,0,0,0
260,Dog,Yorkshire Terrier,64.86,200,0,0,0,0,0,0,0,0,0,0,0
261,Cat,Domestic Shorthair,43.77,500,5,221.37,286.5,110.685,286.5,2,1,507.87,397.185,3,2
262,Dog,Leonberger,131.55,200,0,0,0,0,0,0,0,0,0,0,0
263,Dog,Portuguese Water Dog,44.59,1000,0,0,0,0,0,0,0,0,0,0,0
264,Dog,Yorkshire Terrier,70.33,200,0,0,0,0,0,0,0,0,0,0,0
265,Dog,Mixed Breed Medium,44.28,500,0,0,0,0,0,0,0,0,0,0,0
266,Dog,Maltipoo,43.31,200,0,0,0,0,0,0,0,0,0,0,0
267,Dog,Pomeranian,79.64,400,0,7418.15,0,7418.15,0,1,0,7418.15,7418.15,1,1
268,Cat,Sphynx,48.39,500,5,0,0,0,0,0,0,0,0,0,0
269,Dog,Doberman Pinscher,207.23,200,4,3872.77,5526.28,430.3077778,1105.256,9,5,9399.05,1535.563778,14,2
270,Dog,Boston Terrier,35.93,1000,0,0,0,0,0,0,0,0,0,0,0
271,Dog,Labrador Retriever,103.41,500,0,2805.19,2693.68,187.0126667,299.2977778,15,9,5498.87,486.3104444,24,2
272,Dog,Mixed Breed Small,46.55,250,0,415.19,360.46,415.19,180.23,1,2,775.65,595.42,3,2
